2022-05-20 12:05:264 INFO  HomePage :67 - Click on find job button [[ChromeDriver: chrome on WINDOWS (ff7c54fff67b5dcf04deefdfb07cf7cc)] -> xpath: //input[@id='hp-search-btn']]
2022-05-20 12:05:288 INFO  ResultPage :25 - Verify results : [[ChromeDriver: chrome on WINDOWS (ff7c54fff67b5dcf04deefdfb07cf7cc)] -> xpath: //h1[@class='search-header__title']]
2022-05-20 12:05:263 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 12:05:504 INFO  HomePage :118 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //button[@id='save']]
2022-05-20 12:05:703 INFO  HomePage :110 - Enter job role [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //input[@id='keywords']]
2022-05-20 12:05:60 INFO  HomePage :105 - Enter location [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //input[@id='location']]
2022-05-20 12:05:136 INFO  HomePage :100 - Select distance [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //select[@id='distance']]
2022-05-20 12:05:295 INFO  HomePage :94 - Click on more search option [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //button[@id='toggle-hp-search']]
2022-05-20 12:05:541 INFO  HomePage :88 - Select min salary [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //input[@id='salarymin']]
2022-05-20 12:05:653 INFO  HomePage :83 - Select max salary [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //input[@id='salarymax']]
2022-05-20 12:05:717 INFO  HomePage :78 - Select salary  [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //select[@id='salarytype']]
2022-05-20 12:05:848 INFO  HomePage :72 - Select job type Contract
2022-05-20 12:05:81 INFO  HomePage :67 - Click on find job button [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //input[@id='hp-search-btn']]
2022-05-20 12:05:250 INFO  ResultPage :25 - Verify results : [[ChromeDriver: chrome on WINDOWS (da1c29e031aec7989ce50c064426bc7d)] -> xpath: //h1[@class='search-header__title']]
2022-05-20 12:05:265 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 12:05:384 INFO  HomePage :118 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //button[@id='save']]
2022-05-20 12:05:537 INFO  HomePage :110 - Enter job role [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //input[@id='keywords']]
2022-05-20 12:05:970 INFO  HomePage :105 - Enter location [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //input[@id='location']]
2022-05-20 12:05:97 INFO  HomePage :100 - Select distance [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //select[@id='distance']]
2022-05-20 12:05:272 INFO  HomePage :94 - Click on more search option [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //button[@id='toggle-hp-search']]
2022-05-20 12:05:491 INFO  HomePage :88 - Select min salary [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //input[@id='salarymin']]
2022-05-20 12:05:614 INFO  HomePage :83 - Select max salary [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //input[@id='salarymax']]
2022-05-20 12:05:674 INFO  HomePage :78 - Select salary  [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //select[@id='salarytype']]
2022-05-20 12:05:735 INFO  HomePage :72 - Select job type Any
2022-05-20 12:05:975 INFO  HomePage :67 - Click on find job button [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //input[@id='hp-search-btn']]
2022-05-20 12:05:940 INFO  ResultPage :25 - Verify results : [[ChromeDriver: chrome on WINDOWS (2c29fc2f1594184550da313ec3764f70)] -> xpath: //h1[@class='search-header__title']]
2022-05-20 12:05:53 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 12:05:458 INFO  HomePage :118 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (fc59d9c4b39e0e971c15ee127d523584)] -> xpath: //button[@id='save']]
2022-05-20 12:05:602 INFO  HomePage :110 - Enter job role [[ChromeDriver: chrome on WINDOWS (fc59d9c4b39e0e971c15ee127d523584)] -> xpath: //input[@id='keywords']]
2022-05-20 12:05:77 INFO  HomePage :105 - Enter location [[ChromeDriver: chrome on WINDOWS (fc59d9c4b39e0e971c15ee127d523584)] -> xpath: //input[@id='location']]
2022-05-20 12:05:195 INFO  HomePage :100 - Select distance [[ChromeDriver: chrome on WINDOWS (fc59d9c4b39e0e971c15ee127d523584)] -> xpath: //select[@id='distance']]
2022-05-20 12:05:349 INFO  HomePage :94 - Click on more search option [[ChromeDriver: chrome on WINDOWS (fc59d9c4b39e0e971c15ee127d523584)] -> xpath: //button[@id='toggle-hp-search']]
2022-05-20 12:05:612 INFO  HomePage :88 - Select min salary [[ChromeDriver: chrome on WINDOWS (fc59d9c4b39e0e971c15ee127d523584)] -> xpath: //input[@id='salarymin']]
2022-05-20 12:05:698 INFO  HomePage :83 - Select max salary [[ChromeDriver: chrome on WINDOWS (fc59d9c4b39e0e971c15ee127d523584)] -> xpath: //input[@id='salarymax']]
